iter	Passed	Remaining
0	81	81574
1	99	49746
2	117	39170
3	136	34029
4	155	30852
5	173	28734
6	191	27150
7	210	26061
8	229	25242
9	247	24524
10	265	23897
11	283	23361
12	301	22914
13	320	22540
14	338	22211
15	356	21907
16	374	21640
17	392	21401
18	410	21209
19	430	21078
20	449	20969
21	468	20836
22	487	20696
23	505	20563
24	524	20455
25	543	20346
26	561	20240
27	582	20219
28	601	20128
29	620	20055
30	639	19992
31	658	19919
32	678	19871
33	696	19783
34	715	19723
35	735	19688
36	755	19656
37	773	19589
38	792	19533
39	811	19484
40	831	19449
41	849	19384
42	868	19334
43	888	19297
44	907	19262
45	926	19214
46	945	19178
47	965	19141
48	985	19130
49	1006	19118
50	1026	19092
51	1048	19113
52	1068	19083
53	1087	19055
54	1107	19028
55	1130	19055
56	1150	19041
57	1170	19012
58	1191	18999
59	1211	18974
60	1230	18948
61	1250	18925
62	1270	18902
63	1289	18855
64	1307	18813
65	1326	18765
66	1344	18724
67	1364	18695
68	1383	18669
69	1407	18700
70	1428	18686
71	1447	18659
72	1470	18675
73	1490	18646
74	1508	18610
75	1528	18579
76	1547	18546
77	1566	18517
78	1585	18487
79	1605	18461
80	1624	18434
81	1643	18399
82	1662	18364
83	1681	18336
84	1700	18306
85	1718	18268
86	1737	18233
87	1755	18195
88	1773	18157
89	1792	18120
90	1809	18077
91	1828	18045
92	1846	18004
93	1864	17972
94	1882	17933
95	1901	17908
96	1920	17876
97	1938	17844
98	1957	17819
99	1977	17801
100	1997	17781
101	2019	17775
102	2044	17804
103	2063	17773
104	2081	17745
105	2101	17726
106	2121	17701
107	2140	17680
108	2159	17655
109	2178	17629
110	2198	17606
111	2217	17585
112	2237	17561
113	2257	17543
114	2275	17510
115	2293	17476
116	2312	17451
117	2330	17421
118	2349	17391
119	2367	17365
120	2386	17339
121	2406	17316
122	2426	17297
123	2445	17273
124	2464	17252
125	2484	17231
126	2503	17208
127	2523	17191
128	2542	17168
129	2561	17143
