iter	MultiClass
0	1.728456303
1	1.68558068
2	1.636982017
3	1.588377516
4	1.547915569
5	1.51187653
6	1.484276764
7	1.445748463
8	1.411148655
9	1.379914424
10	1.351518085
11	1.324156985
12	1.293707568
13	1.269251416
14	1.252514993
15	1.231348678
16	1.215371921
17	1.197780551
18	1.176806388
19	1.15656433
20	1.133963423
21	1.11609067
22	1.104688598
23	1.090863786
24	1.075364102
25	1.054808294
26	1.043254637
27	1.031625155
28	1.022118646
29	1.015380946
30	1.005862513
31	0.9954232938
32	0.9830317
33	0.9744173802
34	0.9629144034
35	0.9494201654
36	0.9405529697
37	0.9306400361
38	0.9194694549
39	0.9097871523
40	0.9012920446
41	0.8924981887
42	0.8805380211
43	0.8678717638
44	0.8596557348
45	0.851448067
46	0.8436636111
47	0.8369064712
48	0.8285407226
49	0.8229142888
50	0.8150213659
51	0.8100106007
52	0.8039777383
53	0.7964575639
54	0.788943498
55	0.7811523278
56	0.7741084628
57	0.7697042325
58	0.7648811247
59	0.7579621595
60	0.7471357052
61	0.7389942442
62	0.7328979791
63	0.7264893993
64	0.7204091912
65	0.7147997218
66	0.7102352364
67	0.7025081783
68	0.6957364087
69	0.6929357651
70	0.6884644107
71	0.6842830375
72	0.6803044229
73	0.6760143139
74	0.6729164613
75	0.6684278565
76	0.6630004436
77	0.6593623049
78	0.654549648
79	0.6498520237
80	0.6437820149
81	0.6393839613
82	0.636189138
83	0.63170105
84	0.6258150086
85	0.6216082817
86	0.617101168
87	0.6125116636
88	0.6080440528
89	0.603258324
90	0.6004507654
91	0.5953199332
92	0.5914180137
93	0.5866429877
94	0.5851560622
95	0.5827681082
96	0.5807128766
97	0.5767505066
98	0.572928535
99	0.5691593095
100	0.5646282919
101	0.5594989608
102	0.5570491163
103	0.5533645668
104	0.5510417679
105	0.5483676101
106	0.5457345751
107	0.5420215505
108	0.5387132559
109	0.5354491213
110	0.532085461
111	0.5264855263
112	0.5219585705
113	0.5188239128
114	0.5162430958
115	0.5149001336
116	0.5107974441
117	0.5082342486
118	0.5049097988
119	0.5004129242
120	0.4977988751
121	0.49569978
122	0.4926168633
123	0.4908315468
124	0.4878579573
125	0.4859949032
126	0.4847224759
127	0.4818304855
128	0.4783653322
129	0.475120584
130	0.4720169665
131	0.4690583591
132	0.4675355844
133	0.4650757279
134	0.4614962507
135	0.4601832014
136	0.4569130173
137	0.4539651876
138	0.4510044006
139	0.4472710394
140	0.4454317904
141	0.4441421987
142	0.441834006
143	0.4392366881
144	0.4363081284
145	0.4339320188
146	0.4319384707
147	0.4304648624
148	0.4294925543
149	0.4275101766
150	0.4255688432
151	0.4225774862
152	0.4207986485
153	0.4183532743
154	0.4175621813
155	0.416796396
156	0.414983019
157	0.4137256343
158	0.4105510903
159	0.4095788652
160	0.407942758
161	0.4065472268
162	0.4055778981
163	0.4033008096
164	0.4024055237
165	0.397782901
166	0.3963437607
167	0.3948894145
168	0.3930895259
169	0.3918770908
170	0.3907268181
171	0.3896889058
172	0.3882288446
173	0.3871552129
174	0.385943182
175	0.3853853744
176	0.384262596
177	0.3808378083
178	0.378731781
