iter	Passed	Remaining
0	86	86094
1	106	53334
2	126	41921
3	145	36128
4	164	32653
5	182	30313
6	202	28667
7	220	27388
8	239	26392
9	258	25617
10	277	24969
11	296	24410
12	315	23955
13	334	23564
14	354	23266
15	373	22955
16	392	22712
17	412	22529
18	432	22351
19	452	22195
20	472	22042
21	491	21855
22	510	21691
23	529	21535
24	548	21387
25	568	21284
26	587	21165
27	606	21045
28	625	20931
29	644	20834
30	663	20730
31	682	20630
32	700	20532
33	719	20447
34	738	20367
35	757	20286
36	776	20215
37	796	20157
38	815	20092
39	835	20047
40	855	20001
41	874	19942
42	893	19878
43	912	19818
44	931	19775
45	951	19729
46	970	19677
47	989	19630
48	1009	19593
49	1028	19543
50	1048	19509
51	1068	19480
52	1089	19460
53	1108	19425
54	1128	19396
55	1148	19356
56	1167	19310
57	1186	19265
58	1205	19223
59	1224	19179
60	1243	19136
61	1262	19094
62	1280	19050
63	1299	19009
64	1318	18968
65	1338	18942
66	1357	18902
67	1376	18868
68	1395	18830
69	1414	18795
70	1433	18757
71	1452	18727
72	1471	18689
73	1490	18655
74	1509	18618
75	1528	18585
76	1547	18555
77	1566	18522
78	1585	18486
79	1605	18464
80	1626	18454
81	1647	18444
82	1669	18443
83	1698	18520
84	1717	18486
85	1736	18458
86	1755	18424
87	1774	18392
88	1794	18368
89	1813	18335
90	1832	18305
91	1851	18271
92	1870	18240
93	1889	18207
94	1908	18179
95	1928	18158
96	1947	18126
97	1966	18095
98	1984	18063
99	2003	18032
100	2022	18002
101	2041	17969
102	2059	17938
103	2078	17909
104	2098	17885
105	2116	17853
106	2135	17824
107	2154	17792
108	2172	17760
109	2191	17731
110	2210	17704
111	2229	17674
112	2248	17651
113	2268	17629
114	2287	17600
115	2305	17571
116	2324	17543
117	2343	17514
118	2361	17486
119	2381	17460
120	2400	17436
121	2418	17408
122	2437	17380
123	2456	17355
124	2476	17332
125	2494	17305
126	2513	17278
127	2532	17252
128	2551	17226
129	2570	17201
130	2589	17174
131	2608	17152
132	2627	17128
133	2646	17100
134	2664	17074
135	2683	17048
136	2702	17021
137	2720	16995
138	2739	16971
139	2758	16945
